s1,s2,s3,s4,s5,s6,내용
블로그 등 소통의 장을 만들 수 있는 역량을 기를 수 있도록 외부나 내부 교육훈련강사를 활용한 교육훈련과 블로그 활용 등 업무 추진에 성과를 낸 직원에 대해서는 승진 또는 포상금 등 인센티브 제공,.,.,.,.,"임기제 임용제도로 임기제가 넘쳐 나고 있고, 승진 또한 제멋대로 되고 있어 반드시 개선이 필요함  ",.
최대한 수요자 입장에서 판단할 것과 담당자마다 답변이 다르면 안됨,.,.,.,.,딱히 선택할 것이 없다. 어떤 방식을 취하더라도 불만자는 있기 마련임.,.
"풀랫폼에 제시되는 정책이 도정에 접목 가능한지를 판단할수 있는 분야별 전문성교육훈련과
플랫폼 운용 담당자 지정 ",.,.,.,.,"승진제도 
근평만으로 승진자 결정에는 한계가 있음. 
다면근평(문제점을 보완)제도 시행이 필요",.
정책소통의 필요성에 대한 인식개선교육훈련,.,.,.,.,주무과·주무계 위주의 근평 우선,.
담당업무에 집중할 수 있으면 정책소통플랫폼도까지 잘 이어질 것 같습니다.,.,.,.,.,정원표 복수직 너무 많은듯해요,.
소통성과 가점 부여,.,.,.,.,"업무추진 노력, 업무량, 성과 여부에 관계없이 연공서열 및 주무과·주무과·주무계 주무과·주무계 우선 근평하는 경향",.
인센티브 부여 ,.,.,.,.,교육훈련 훈련을 통한 지속적인 자기 관리가 도민 행정 서비스를 실현,.
"정책분야별 고객참여 우수 사례 교육훈련을 통한 마인드 개선
업무별 고객참여 방식 등 기술적인 부분 교육훈련",.,.,.,.,"주무과·주무과·주무계 주무과·주무계에 있어야 보다 승진에 유리한 제도가 아니라
어느 부서에서도 승진의 기회가 주어지는 방식을 채택하면 좋겠음",.
부서 이기주의 탈피(민원 편의 위주),.,.,.,.,"사업부서의 인원을 늘리고, 지원부서의 인원을 줄이는 것",.
"부서, 담당 내 갑질근절",.,.,.,.,"여성들은 출산 등으로 근평에서 밀리고 짧은 육아휴직조차도 근평에 불리하게 작용함
출산이 우리의 미래인데도 도는 거기 응당하는 보상이 전혀 없다고 보여짐
 ",.
홍보,.,.,.,.,보다 객관적일 필요가 있다고 생각하여서,.
"SNS활용과정, 동영상 및 사진 촬영 편집과정",.,.,.,.,"승진소요기간에 있어서 직렬간 편차가 많으며, 승진심사시 직전 업무에 대한 근평 비중이 높아 공정·공평 승진심사가 되지 못함.",.
정책 수립 관련 절차의 간소화,.,.,.,.,공정·공평 필요,.
현장 중심의 교육훈련,.,.,.,.,인재개발원을 좋은 환경으로 이전하여 교육훈련생들이 생각할수 있는 여유 공간이 필요 ,.
익명게시판 활용,.,.,.,.,"기피, 기피·격무부서 업무경험이자 재전보·전보·보직은 지양되어야 함.",.
부서 인력 충원 필요,.,.,.,.,조직에 대한 소명감 향상을 위해 인사적체로 인한 승진 인맥에 대한 예측과 대책 필요,.
.,.,.,.,.,.,.
"자유로운 의사소통..
일방적인 상하 통보가 아닌",.,.,.,.,"개개인의 역량보다는...연공서열대로 인사가 이루어지는 것이 문제라고 생각됨
개개인의 역량을 자유롭게 펼칠수 있는 기회가 많았으면 좋겠음",.
"모든 직원들에게 정책소통의 중요성을 인식시키는 교육훈련이 필요함.
",.,.,.,.,전보를 위한 시스템 구축이 필요함,.
주기적이고 지속적인 교육훈련,.,.,.,.,없음,.
"ㅇ 교육훈련 : 필요성, 목적, 성공사례, 시스템 사용법
ㅇ 지원 : 인센티브(국외여행)",.,.,.,.,"많은 부서에서는 성과 및 노력 위주로 근평 평정이 이루어지고 있으나 일부에서는 여전히 성과보다는 개인적 친밀도, 오랜 연공서열 만을 이유로 들어 높은 고과를 주고 있습니다. 
",.
접근이 용이한 플랫폼 개발과 익명의 의견제시,.,.,.,.,특수분야 임기제공무원  채용시 5년초과하여 5년이내 연장할수 있는 자체규정 마련하여 임기제 공무원의 신분불안 해소,.
"홍보 기획, 홍보 방식 , sns 운영 방법 등",.,.,.,.,특정 부서 위주로 전보·전보·보직 받아 우선 승진 제도 없어졌으면 함,.
업무과부하가 되지 않도록 과도한 자료 요구 금지 등,.,.,.,.,"직렬 간 불평등해소 (승진, 근무 가능한 부서) ",.
"직장내 상하간, 동료간 소통 방법(플랫폼 활용 방법 포함) 등에 대한 정기적인 교육훈련(강의 등)필요 ",.,.,.,.,"인사, 예산, 감사, 기획 등 주요전보·보직은 전체연공서열에서 총 2회로 제한(왕후장상영유종호,  자리가 사람 만든다)
* 회전문, 끼리끼리 전보 또는 승진인사로 직원 사기 및 직장분위기 저하, 조직전체 악영향  ",.
.,.,.,.,.,.,.
정책소통플랫폼의 구체적인 내용과 직원들이 해야하는 구체적인 부분을 명확하게 인식시킬수있는 교육훈련이 필요함. ,.,.,.,.,보다 투명 인사관리가 필요하고 전보에 대해서도 명확한 기준에 따른 전보가 이루어져야함. 어떨때는 기준을 적용하고 어떨때는 기준을 벗어나는 경우가 많음,.
 -,.,.,.,.,투명 재고를 위한 근평 공개 및 이의신청이 자유로워져야함.,.
정책 업무이해와 모바일 참여방법교육훈련지원,.,.,.,.,개인의 역량과 성과만큼 인사반영,.
행정선진국들의 밴치마킹,.,.,.,.,본청위주의 승진제도,.
#NAME?,.,.,.,.,역량강화의 다양한 교육훈련 기회 필요,.
정책소통 홍보 교육훈련,.,.,.,.,교육훈련훈련을 사이버로 해 주었으면 좋겠습니다.,.
정책제공 서비스 마인드 교육훈련,.,.,.,.,인사인사교류 확대로 다양한 인재 개발,.
네,.,.,.,.,없음,.
직원의 역량이 우선시 되어야 하므로 정책에 대한 기초지식(신지식)의 습득과 훈련 프로그램의 준비,.,.,.,.,근평의 객관성,.
.,.,.,.,.,"공직에 있으면서 각자 주어진 업무를 맡을 뿐인데 근평을 근평한다는 것 자체부터가 잘못되었다고 생각, 그것도 역량에 따른 근평도 아니고 업무가 비슷해도 인맥,인맥에 의해 전보, 승진되며, 서열, 나이 중심으로 근평되는 것은 부적절함",.
"말씀하시는 육은 한두번으로 끝내야합니다.지속적인 교육훈련실시는 단순 의무감으로 작용하여 직원 부담으로 작용합니다.
정책소통플랫폼 실시이전에 직원간 소통부터 해결해야할 것입니다.
그러하기 위해서는 직원간 자유로운 토론으로 좋은 의견을 낼 수 있는 기회를 제공해야하며, 
좋은 정책 제공 시 담당별 직원 인센티브가 강력하게 주어져야 할 것입니다. 
인센티브 없는 정책은 직원들을 수동적으로 이끌것입니다. ",.,.,.,.,"인사인사교류의 경우 다양한 직렬이 나갈 수 있도록 직렬의 다양성이 필요함. 
근무평점시 열씨미 일하는 직원이 보람이 느낄수 있는 방향으로 좀 더 개선이 필요함. 
주무과·주무계가 아닌 직원들이 기피·기피·격무부서위주로 근평이 주어져야함.
(도로과 등 사업부서 기피현상 발생으로 연공서열짧은 직원위주로 전보·전보·보직 업무공백 발생, 근평이 높은 도시과의 경우 연공서열들이 주로 들어가려고 함)",.
직원들부터 제도적 공감을 이끌어 낼 수 있도록 충분한 홍보,.,.,.,.,기존 직원들의 상실감,.
혁신업무,.,.,.,.,"성과급 제도 다시 검토사항임 

",.
" 기존 업무를 하는 직원들이 소통결과를 반영한 새로운 업무를 할수 있는 시간이 부족하므로, 전문관 제도의 파격적 가점(해봐야 시간만 뺏긴다면 소극적일수밖에 없음) 또는 국단위 전담 추가인력을 고용하여 충분한 시간을 가지고 실국내 조정 및 도민소통을 하는 것이 필요하겠음. 별도 조직구성은 기존 현안부서의 시간만 빼앗는 조직으로 전락하게 될 우려가 있으므로 부정적 영향을 줄 것임",.,.,.,.," 워크샵 세미나 등 과 서무의 수기입력 대신 자동 등록하도록 시스템 개선 필요
 
 교육훈련시간이 부족한 직원이 본인이 알아서 교육훈련시간을 맞추지 않고, 개인에게 부족하니 교육훈련을 가도록 
 공문을 인사과에서 보내면 눈치보고 교육훈련 안가도 되겠음.",.
"내가 도민들에게 직접 정책에 대해 홍보한다는 마음으로 능동적으로 참여할 수 있는, 마인드에 대한 교육훈련 및 (부득이하게 따르는)인센티브 지원이 필요하다고 생각함",.,.,.,.,"가장 직원들의 불만이 높은 제도이기 때문이며, 이 불만은 합리적이고 객관적인 공정·공평에 우선하여, 본인에게 불리한 부분에 대한 불만을 표출하게됨. 예를 들어 전보같은 경우에, 선호부서·보직 발령에 대한 불만이 있다면, 개개인이 선호부서·보직에 가고싶으나 못가는것이 불만일테고, 선호부서·보직에 가고싶은 이유는 근평때문임. 이런 경우는 전보와 근평제도의 관습적인 부분에 대한 제도적 개선을 통해 선호부서·보직이라는 개념에서 탈피해야한다고 생각함.",.
.,.,.,.,.,"평소에 열심히 일한 공무원이 반드시 근평에서도 우대반영되는 근평제도가 확립되어야 함.
연공서열 순서로 평정하는 제도는 근절되어야 함.",.
플랫폼 사용법 등,.,.,.,.,"행정의 전문성을 위해 6개월 또는 1년 근무 후 잦은 선호전보·보직으로 이동하는 것 보다 선호전보·보직이 아니라도 승진 기회보장 등

장기근무를 유도할 수 있도록 제도 개선 필요  ",.
11,.,.,.,.,전문성을 고려하여 업무의 능률성 부합,.
"현장중심의 실무업무와 경험이 필요함
현재는 지시업무 및 업무보고 자료 및 제출자료 작성 등 과부하로 본연의 업무는 할 여력이 없음",.,.,.,.,승진제도,.
플랫폼 구성 및 사용에 관한 교육훈련,.,.,.,.,근평제도(근평),.
직장에서 받는 스트레스를 털어냄과 살믜 여유를 가질 수 있는 교육훈련 발굴 ,.,.,.,.,"성과급 선정 위원회 개최시 특정 직렬(직렬)의 과도한 인원 제한하고 다양한 직렬과 인원 비례하여 함께 참여할수 있도록 제도적의 보완 필요,
직렬 구분 근평실시로 합리적이고 객관적 근평으로 불이익 해소",.
블로그나 SNS등을 활용할도록 스마트폰 교육훈련이 필요합니다,.,.,.,.,사무직 근무자와 현장 근무자의 근평 공정·공평을 고려했으면 함 ,.
필요성과 방법에 대한 교육훈련 필요,.,.,.,.,정확한 기준 설정없이 연공서열에 의한 성과급은 직원 사기 진작에 악영향을 줌,.
당면하고 있는 업무가 과다하여 정책소통까지 할 여유가 없으므로 내부적인 업무개선이 먼저라고 생각함,.,.,.,.,업무마다 성격이 다르므로 객관적인 근평이 어려움,.
플랫폼에 대한 교육훈련,.,.,.,.,근평제도 와 성과급에는 부서장의 주관적의견이 들어가기 때문에 불이익을 당할 수 있습니다. 공정·공평 심사 도입이 필요,.
"직원들의 소통플랫폼을 먼저 시행해 본 후 적용하는것이 필요함 
직원들도 성공적으로 운영되지 않는 정책소통플랫폼은 도민에게도 실패 하는 정책이 될수 있음
",.,.,.,.,조직활성화를 위한 인사 적체 실태의 해소 방안으로 담당이상의 복수 인사 제도 적극활용 필요,.
부성장의 관심하에 직원교육훈련 실시,.,.,.,.,"불필요한 전보는 자제했으면 합니다.
일부 직원의 요청으로 이루어지는 전보는 지양되길 바랍니다.",.
